"학적상태","입학년도","입학학기","졸업년도","졸업학기","대학코드","수료년도","수료학기","국적","생년월일","학과코드","군대상태","대학","학과","다전공종류","이중전공","융합전공","입학유형","입학구분","성별","캠퍼스구분","나이","Id","isoIndex"
"졸업",2015,"2R",2019,"2R",140,NA,"","USA",1995,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외신입학","남",1,21,39342,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1993,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외신입학","여",1,23,39343,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1996,142,NA,"경영대학","경영학과","융합전공","","GKS 융합전공","외국인","정원외신입학","여",1,20,39344,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1997,142,NA,"경영대학","경영학과","융합전공","","GKS 융합전공","외국인","정원외신입학","남",1,19,39345,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CAN",1991,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외신입학","남",1,25,39346,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","KAZ",1996,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외신입학","여",1,20,39347,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1995,142,NA,"경영대학","경영학과","융합전공","","GKS 융합전공","외국인","정원외신입학","여",1,21,39348,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1993,142,NA,"경영대학","경영학과","융합전공","","GKS 융합전공","외국인","정원외신입학","여",1,23,39349,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1995,142,NA,"경영대학","경영학과","융합전공","","GKS 융합전공","외국인","정원외신입학","여",1,21,39350,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1995,142,NA,"경영대학","경영학과","융합전공","","GKS 융합전공","외국인","정원외신입학","남",1,21,39351,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","MYS",1996,142,NA,"경영대학","경영학과","융합전공","","GKS 융합전공","외국인","정원외신입학","여",1,20,39352,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1995,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외신입학","여",1,21,39353,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1991,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외신입학","여",1,25,39354,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1997,142,NA,"경영대학","경영학과","융합전공","","GKS 융합전공","외국인","정원외신입학","여",1,19,39355,NA
"졸업",2017,"1R",2019,"2R",140,NA,"","KOR",1991,142,11,"경영대학","경영학과","심화전공","","","정시_수능","정원내편입학","남",1,27,39356,NA
"졸업",2017,"1R",2019,"2R",140,NA,"","KOR",1992,142,11,"경영대학","경영학과","심화전공","","","정시_수능","정원내편입학","남",1,26,39357,NA
"졸업",2017,"1R",2019,"2R",140,2019,"1R","KOR",1992,142,11,"경영대학","경영학과","심화전공","","","정시_수능","정원내편입학","남",1,26,39358,NA
"졸업",2017,"1R",2019,"2R",140,NA,"","JPN",1995,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외편입학","여",1,23,39359,NA
"졸업",2017,"1R",2019,"2R",140,NA,"","CHN",1994,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외편입학","여",1,24,39360,NA
"졸업",2017,"1R",2019,"2R",140,NA,"","PER",1992,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외편입학","남",1,26,39361,NA
"졸업",2015,"1R",2019,"2R",209,NA,"","KOR",1996,213,NA,"이과대학","화학과","이중전공","신소재공학부","","정시_수능","정원내신입학","남",1,20,39362,NA
"졸업",2015,"1R",2019,"2R",217,2019,"1R","KOR",1992,4952,NA,"공과대학","기계공학부","심화전공","","","정시_수능","정원내신입학","남",1,24,39363,NA
"졸업",2011,"1R",2019,"2R",197,NA,"","KOR",1993,199,11,"정경대학","정치외교학과","융합전공","","공공거버넌스와리더십융합전공","정시_수능","정원내신입학","남",1,19,39367,NA
"졸업",2011,"1R",2019,"2R",197,2017,"1R","KOR",1992,200,NA,"정경대학","경제학과","융합전공","","공공거버넌스와리더십융합전공","정시_수능","정원내신입학","여",1,20,39368,NA
"졸업",2012,"1R",2019,"2R",197,2018,"2R","KOR",1993,203,11,"정경대학","행정학과","이중전공","통계학과","","정시_수능","정원내신입학","남",1,20,39369,NA
"졸업",2012,"1R",2019,"2R",197,2019,"1R","KOR",1994,203,11,"정경대학","행정학과","이중전공","정치외교학과","","정시_수능","정원내신입학","남",1,19,39370,NA
"졸업",2012,"1R",2019,"2R",197,2016,"2R","KOR",1994,203,NA,"정경대학","행정학과","융합전공","","PEL융합전공","정시_수능","정원내신입학","여",1,19,39371,NA
"졸업",2012,"1R",2019,"2R",197,2018,"2R","KOR",1993,203,11,"정경대학","행정학과","융합전공","","PEL융합전공","정시_수능","정원내신입학","남",1,20,39372,NA
"졸업",2012,"1R",2019,"2R",197,2019,"1R","KOR",1992,200,11,"정경대학","경제학과","심화전공","","","순수정원외(=12년과정)","정원외신입학","남",1,21,39373,NA
"졸업",2012,"1R",2019,"2R",197,NA,"","KOR",1992,200,11,"정경대학","경제학과","이중전공","영어영문학과","","순수정원외(=12년과정)","정원외신입학","남",1,21,39374,NA
"졸업",2012,"1R",2019,"2R",197,2019,"1R","KOR",1993,201,11,"정경대학","통계학과","이중전공","행정학과","","정시_수능","정원내신입학","남",1,20,39375,NA
"졸업",2012,"1R",2019,"2R",197,NA,"","KOR",1993,201,11,"정경대학","통계학과","융합전공","","공공거버넌스와리더십융합전공","정시_수능","정원내신입학","남",1,20,39376,NA
"졸업",2012,"1R",2019,"2R",197,NA,"","KOR",1992,199,11,"정경대학","정치외교학과","이중전공","철학과","","정시_수능","정원내신입학","남",1,21,39377,NA
"졸업",2012,"1R",2019,"2R",197,NA,"","KOR",1992,200,NA,"정경대학","경제학과","융합전공","","PEL융합전공","정시_수능","정원내신입학","여",1,21,39378,NA
"졸업",2012,"1R",2019,"2R",197,NA,"","KOR",1994,203,11,"정경대학","행정학과","융합전공","","PEL융합전공","정시_기회균등","정원외신입학","남",1,19,39379,NA
